#COD_MUNICIPIO_CADMU,NOME_MUNICIPIO,COD_MUNICIPIO_IBGE,COD_UF,NOME_UF,COD_UF_IBGE
37059,BARCELONA,2401503,RN,RIO GRANDE DO NORTE,24
4219,URAÍ,4128401,PR,PARANÁ,41
52766,CAMPO MAGRO,4104253,PR,PARANÁ,41
1528,SANTA MARIA,4316907,RS,RIO GRANDE DO SUL,43
1353,SANTO ANTÔNIO DO CAIUÁ,4124202,PR,PARANÁ,41
36524,VÁRZEA GRANDE,2211407,PI,PIAUÍ,22
56566,ANAPU,1500859,PA,PARÁ,15
34416,RIO NEGRO,5007307,MS,MATO GROSSO DO SUL,50
1906,PAULISTANA,2207801,PI,PIAUÍ,22
1023,CALDEIRÃO GRANDE,2905503,BA,BAHIA,29
6729,BURITI BRAVO,2102309,MA,MARANHÃO,21
37145,SANTA CRUZ DA CONCEIÇÃO,3546207,SP,SÃO PAULO,35
46837,MURICILÂNDIA,1713957,TO,TOCANTINS,17
22356,ARANTINA,3103603,MG,MINAS GERAIS,31
39198,ENTRE RIOS,2910503,BA,BAHIA,29
11381,IBICOARA,2912202,BA,BAHIA,29
8837,CONCEIÇÃO DA BARRA,3201605,ES,ESPÍRITO SANTO,32
8868,COROACI,3119203,MG,MINAS GERAIS,31
31976,CATOLÂNDIA,2907400,BA,BAHIA,29
51664,CANDIOTA,4304358,RS,RIO GRANDE DO SUL,43
56418,SÃO MIGUEL DO GOSTOSO,2412559,RN,RIO GRANDE DO NORTE,24
33101,JAGUARIBE,2306900,CE,CEARÁ,23
21986,ROCHEDO,5007505,MS,MATO GROSSO DO SUL,50
56274,JATOBÁ,2608057,PE,PERNAMBUCO,26
14058,CUPIRA,2605004,PE,PERNAMBUCO,26
1140,SANTA BÁRBARA DE GOIÁS,5219100,GO,GOIÁS,52
7429,PAULA CÂNDIDO,3148301,MG,MINAS GERAIS,31
34557,ALTO RIO DOCE,3102100,MG,MINAS GERAIS,31
51626,NOVA MARILÂNDIA,5108857,MT,MATO GROSSO,51
17873,CRISTÁLIA,3120300,MG,MINAS GERAIS,31
